Timestamp,CpuPerc.user,CpuPerc.sys,MemoryInfo.free,MemoryInfo.used,fileSystemUsage.usePercent,receivedBytes,transmittedBytesPerSecond,transmittedBytes,receivedBytesPerSecond,NumAbortedTxDueToReadLock,ReadWriteRatio,AvgCommitAsync,AvgGetsPerWrTransaction,AvgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,ReadOnlyTxTotalCpuTime,FailedCommits,SuccessfulCommits,NumAbortedTxDueToValidation,AvgNumNodesPrepare,AvgTOGMUPrepareNoWaitRtt,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,AvgSuccessfulTxCommit,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgFailedTxCommit,AvgTxArrivalRate,AverageWriteTime,AvgLocalLockHoldTime,NumOwnedRdItemsInRemotePrepare,AvgNumAsyncSentCommitMsgs,CommitQueueSize,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumEarlyAborts,LocalCommits,Throughput,ReplicationDegree,AvgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,LocalReadOnlyTxCommitServiceTime,NumLocalTxWaitingTimeInGMUQueueDuePendingTx,AvgCommitCommandSize,AvgLocalTxWaitingTimeInGMUQueueDuePendingTx,LocalPrepares,LocalReadOnlyTxPrepareResponseTime,HitRatio,PercentageWriteTransactions,AvgNumNodesRollback,AvgNumOfLockLocalTx,NumRemoteRemoteLockContentions,AbortRate,NumAbortedTxDueDeadlock,AvgNumNodesRemoteGet,SuccessRatioFloatingPoint,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,AvgRemoteTxWaitingTimeInGMUQueueDuePendingTx,AvgNumPutsBySuccessfulLocalTx,NumWaitedLocalCommits,ConcurrencyLevel,LocalUpdateTxPrepareServiceTime,TOGMUPrepareRttMinusAvgValidationTime,AvgNumOfLockSuccessLocalTx,LocalUpdateTxCommitResponseTime,LocalUpdateTxRemoteRollbackServiceTime,AvgPrepareCommandSize,NumberOfGets,AvgAbortedWriteTxDuration,NumTOGMUSuccessfulPrepareNoWait,LocalContentionProbability,Hits,RemoveHits,AvgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,AvgLocalLocalAbortLockHoldTime,AverageReplicationTime,RemoteUpdateTxPrepareServiceTime,NumberOfCommits,LocalUpdateTxPrepareResponseTime,AvgNTCBTime,AvgNumSyncSentCommitMsgs,NumberOfLocalCommits,NumberOfLocksHeld,AvgClusteredGetCommandSize,LocalReadOnlyTxCommitResponseTime,NumRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,AvgPutsPerWrTransaction,TOMaxSuccessfulValidationWaitingTime,LocalReadOnlyTxLocalServiceTime,AvgTCBTime,TOGMUAvgSuccessfulValidationServiceTime,AvgCommitRtt,AvgLockHoldTime,RemoteGetServiceTime,TONumValidationWaited,GMUClusteredGetCommandResponseTime,NumLocalRemoteLockContentions,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,AvgRemoteTxCompleteNotifyTime,SwitchCoolDownTime,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,AvgNumOfLockRemoteTx,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,ExecutorQueueSize,NumOwnedRdItemsInLocalPrepare,ElapsedTime,TerminationCost,RemotelyDeadXact,CoolDownTime,LocalReadOnlyTxPrepareServiceTime,RemoveMisses,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,NumLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,GMUClusteredGetCommandServiceTime,NumRemoteLocalLockContentions,NumLocalLocalLockContentions,NumOwnedWrItemsInLocalPrepare,ReplicationFailures,RemoteUpdateTxRollbackServiceTime,TimeSinceReset,NumberOfRemoteGets,NumRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,AvgRemoteGetsPerROTransaction,AvgRollbackRtt,Rollbacks,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,NumberOfPuts,Evictions,NumWaitedRemoteGets,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,NumLocalPrepareAborts,AvgClusteredGetCommandReplySize,AvgGmuClusteredGetCommandRttNoWait,AvgWriteTxDuration,TOAvgValidationConditionalWaitTime,NumNodes,MaxNumberOfKeysToRequest,LocalUpdateTxTotalCpuTime,GMUClusteredGetCommandWaitingTime,NumLocalTxWaitingTimeInGMUQueueDueToSlowCommits,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,TOGMUPrepareRttMinusMaxValidationTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,NumAbortedXacts,RemoteUpdateTxCommitServiceTime,TOGMUAvgSuccessfulValidationResponseTime,NumberOfLocksAvailable,NumAbortedTxDueToWriteLock,Misses,AvgLockWaitingTime,CurrentRoundId,Stores,AvgResponseTime,AvgRemotePutsPerWrTransaction,LocalActiveTransactions,TOPrepareWaitTime,ReplicationCount,AvgNumNodesCommit,NumRemoteTxWaitingTimeInGMUQueueDuePendingTx,AvgRollbackCommandSize,TOGMUPrepareWaitProbability,AvgReadOnlyTxDuration,Commits,NumberOfEntries,LocalRollbacks,CurrentEpoch,NumWaitedRemoteCommits,Prepares,AvgPrepareAsync,AverageReadTime,AvgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,geograph.averageSyncTasksExecutedPerSecond,geograph.timeElapsedSinceLastReset,geograph.averageSyncServiceTime,geograph.numberOfExecutedSynTasks,geograph.averageSyncTotalTime,geograph.keepAliveTime,geograph.numberOfRunningThreads,geograph.messaging(geograph).syncRequest,geograph.maxQueueSizeNotificationThreshold,geograph.maxThreads,geograph.queueSize,geograph.minQueueSizeNotificationThreshold,geograph.averageAsyncServiceTime,geograph.numberOfExecutedAsyncTasks,geograph.averageAsyncTotalTime,geograph.averageAsyncTasksExecutedPerSecond,geograph.messaging(geograph).asyncRequest,geograph.coreThreads,geograph.messaging(geograph).averageServiceTime,geograph.arrivalRate,CurrentProtocolAsInt
1378566999063,0.15480531966455308,0.013633738606426474,1.62965069824E11,1.7257230336E10,0.026428571428571423,1.127576E7,232285.0,6968730.0,375853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2711.2,0.0,0.0,0.0,0.0,0.0,0.0,18565.2,5.0,0.0,0.0,0.0,0.0,0.0,4365.0,0.0,0.0,0.0,0.0,0.0,4511.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,60000.0,0.0,0.0,1000.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
1378567029236,0.032435390864881494,0.00409610884354144,1.6169750528E11,1.852479488E10,0.026428571428571423,4076975.0,49591.0,1487873.0,135894.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,10921.0,0.0,0.0,0.0,0.0,18.28699195,0.0,0.0,0.0,0.05333333333333333,1.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,4.0,0.13333333333333333,5.0,0.0,0.0,0.0,27.8,0.0,4.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1624.2,0.0,0.0,0.2,0.0,32.0,0.0,14869.0,0.0,3427.6,0.0,112.4,0.0,0.0,0.4,0.0,2.0,0.0,0.0,0.0,7.4,0.0,8.0,15501.2,354.6,0.8,4.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,15694.6,0.0,2539.6,0.0,0.0,0.4,0.0,0.0,20624.2,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6,173026.0,0.0,30000.0,0.0,0.0,0.0,14869.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-0.2,0.2,936.4,0.0,0.0,0.0,0.0,0.0,20619.4,6193.2,5.0,0.0,0.0,0.0,0.0,0.0,1668.6,14869.0,0.0,0.0,0.0,0.0,1722.8,0.0,0.0,4.0,0.0,0.0,4.0,20619.4,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.6,5.0,0.0,0.0,0.0,12.0,0.0,0.4,0.0,0.06663381081614353,30.0,35105.70136,2.0,35196.84772,60000.0,0.0,0.0,1000.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06663377966022378,2
1378567059350,0.017490210818552326,0.0027117391109896887,1.61501622272E11,1.8720677888E10,0.026428571428571423,4635771.0,120583.0,3617656.0,154520.0,0.0,1.6403666726367887,0.0,9.4,0.0,0.0,4.6,8.6,4.6,3.0,10354.4,0.0,0.0,1231.4,210.2,17.823372022857143,0.0,843.2,28.489228078888893,1.6866666666666668,0.0,0.0,5.7038555888274205,0.0,0.0,4121.8,0.6,0.0,0.0,0.0,0.0,43.0,1.3666666666666667,5.0,0.0,0.0,0.0,83.4,0.0,66.0,0.0,0.5044817814692483,0.6,3.0,0.0,0.0,0.20966183574879227,0.0,0.0,0.49861111111111106,16642.0,0.0,0.0,2.8428571428571425,0.2,32.0,0.0,11075.2,0.0,6012.4,0.0,2554.6,656.0,50416.8,7.8,0.0,923.0,0.0,0.0,0.0,9.8,0.0,173.0,12161.2,471148.4,2.4,41.0,0.0,0.0,0.0,0.0,2.8428571428571425,0.0,0.0,740.2,0.0,5037.4,0.0,0.0,8.8,0.0,0.0,35404.6,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,4.998901098901099,83.2,211206.2,0.0,30000.0,0.0,0.0,0.0,11075.2,12.4,0.0,0.0,0.0,0.0,0.0,2.8428571428571425,23.0,0.0,30.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,2336.8,197.0,0.0,0.0,0.0,0.0,-0.6,4.727304705648105,1817.8,779.0,0.0,4.6,0.0,0.0,35177.6,12886.8,5.0,0.0,0.0,0.0,0.0,0.0,2117.8,11034.2,0.0,0.0,4.6,0.0,2621.0,0.0,0.0,173.0,0.0,0.0,424.0,66400.4,0.0,1.0,0.0,109.0,3.0,0.0,46.2,0.0,0.0,34.8,551.0,23.0,0.0,1.8,321.0,0.0,0.0,0.0,0.3464880853919334,30.0,121397.16320941175,10.4,121845.77924823531,60000.0,0.0,0.0,1000.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3464878922351925,2
1378567089452,0.012914909988914397,0.002302645306476646,1.61364893696E11,1.8857406464E10,0.026428571428571423,5525225.0,107338.0,3220301.0,184169.0,0.0,2.2134017943866278,0.0,21.4,0.0,0.0,1.2,10.6,1.2,5.0,16835.2,0.0,0.0,828.0,207.2,29.492698515897438,0.0,527.6,21.3632432,2.3466666666666667,0.0,0.0,11.325658599254425,0.0,0.0,3739.6,1.0,0.0,0.0,0.0,0.4,53.0,1.8,5.0,0.0,0.0,0.0,139.0,0.0,59.0,0.0,0.8506038978001174,1.0,3.0,0.0,0.0,0.10991114149008885,0.0,0.0,0.9530939648586706,26572.4,0.0,0.0,10.867435897435897,1.0,32.0,0.0,17067.2,0.0,10155.2,0.0,7402.8,1186.0,37893.6,10.4,0.0,1051.0,0.0,0.0,0.0,9.2,0.0,282.0,18969.0,2641199.6,4.0,54.0,0.0,0.0,0.0,0.0,10.867435897435897,0.0,0.0,1042.8,0.0,9126.6,0.0,0.0,9.2,0.0,0.0,56438.6,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,12.479487179487181,113.8,269561.0,0.0,30000.0,0.0,0.0,0.0,17067.2,12.0,0.0,0.0,0.0,0.0,0.0,10.867435897435897,6.0,0.0,30.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,1365.8,590.0,0.0,0.0,0.0,0.0,-1.0,8.628476953078188,1624.0,1352.6,0.0,1.2,0.0,0.0,56426.6,12689.4,5.0,0.0,0.0,0.0,0.0,4.8,2363.0,17067.2,0.0,0.0,1.6,0.0,2991.2,0.0,0.0,191.0,0.0,0.0,583.0,65324.8,0.0,0.0,0.0,112.0,5.0,0.0,46.2,0.0,0.0,56.0,1527.0,8.0,0.0,2.4,407.0,0.0,0.0,0.0,0.2932137847348346,30.0,73467.8226340171,8.8,73747.35609213675,60000.0,0.0,0.0,1000.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29321361860482514,2
1378567119546,0.010800228341181276,0.002185099105071338,1.6129722368E11,1.892507648E10,0.026428571428571423,4979623.0,94214.0,2826562.0,165982.0,0.0,2.7487102404424437,0.0,22.4,0.0,0.0,0.4,8.4,0.4,5.0,12962.4,0.0,0.0,19.0,124.0,20.00635434634921,0.0,117.4,7.5994904000000005,1.653333333333333,0.0,0.0,13.150274486060292,0.0,0.0,3267.6,1.0,0.0,0.0,0.0,0.0,42.0,1.4000000000000001,5.0,0.0,0.0,0.0,139.0,0.0,44.0,0.0,0.8755304180397674,1.0,1.0,0.0,0.0,0.05,0.0,0.0,0.975,18113.8,0.0,0.0,8.87111111111111,0.0,32.0,0.0,12962.4,0.0,5301.0,0.0,6620.2,968.0,12175.2,8.4,0.0,883.0,0.0,0.0,0.0,7.0,0.0,242.0,14356.2,5659678.2,4.0,42.0,0.0,0.0,0.0,0.0,8.87111111111111,0.0,0.0,760.6,0.0,4787.2,0.0,0.0,0.6,0.0,0.0,38266.8,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,12.992380952380952,144.2,167800.6,0.0,30000.0,0.0,0.0,0.0,12962.4,8.8,0.0,0.0,0.0,0.0,0.0,8.87111111111111,2.0,0.0,30.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,231.4,383.0,0.0,0.0,0.0,0.0,-1.0,9.434168289480962,777.2,0.0,0.0,0.4,0.0,0.0,38253.4,1679.0,5.0,0.0,0.0,0.0,0.0,0.8,1491.2,12962.4,0.0,0.0,0.4,0.0,2018.8,0.0,0.0,127.0,0.0,0.0,403.0,42311.8,0.0,0.0,0.0,86.0,5.0,0.0,15.4,0.0,0.0,48.2,2384.0,2.0,0.0,1.8,290.0,0.0,0.0,0.0,1.585939163187803,30.0,79433.09304213872,47.6,79650.20153116803,60000.0,0.8,0.0,1000.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6125922099258627,2
1378567149648,0.08589267644525309,0.007624299994877623,1.6102453248E11,1.919776768E10,0.026428571428571423,2.3140013E7,631158.0,1.8934866E7,771329.0,0.0,2.6579224087361824,0.0,24.4,0.0,0.0,44.0,172.0,38.4,5.0,41732.4,0.0,0.0,158.8,105.6,60.76158139887498,4317.0,441.0,103.29870134249786,32.42,0.0,0.0,13.198673286597204,0.0,4.2,10743.4,0.9496696299944878,0.0,4567.2,0.0,2.6,864.0,27.7,5.0,0.0,0.0,0.0,139.0,0.0,1107.0,0.0,0.8853974278413063,0.9604487780137468,3.0,0.0,0.0,0.12390346495609653,0.0,0.0,0.9326596717718789,19318.4,0.0,0.0,7.947806851654394,83.2,32.0,0.0,45266.0,0.0,17097.0,0.0,5304.0,19390.0,119556.4,140.0,0.0,26439.0,0.0,0.0,0.0,34.4,0.0,3866.0,40042.6,1244847.2,4.0,826.0,0.0,0.0,0.0,0.0,7.950052780907623,0.0,0.0,1405.0,0.0,17053.4,0.0,0.0,188.4,0.0,0.0,76823.4,1.8,0.0,60.0,0.0,0.0,0.0,0.0,0.0,2.0,13.532509383729835,175.6,120902.4,0.0,30000.0,0.0,0.0,0.0,40708.0,189.0,0.0,0.0,0.0,0.0,0.0,8.059918974160126,229.0,0.0,30.6,0.0,0.0,0.0,0.0,1249.0,0.0,0.0,783.8,4556.0,0.0,0.0,0.0,0.0,-1.0,8.966113040246185,647.2,11142.2,0.0,41.4,0.0,0.0,84816.2,60431.2,5.0,0.0,0.0,0.0,0.0,0.2,1011.8,45723.0,0.0,0.0,42.2,0.0,1303.6,0.0,0.0,3145.0,0.0,0.0,10545.0,110847.0,0.0,32.0,0.0,1839.0,5.0,0.0,46.2,0.0,4563.0,788.2,12258.0,238.0,0.0,311.6,6276.0,0.0,0.0,0.0,21.279314761388754,30.0,173367.05506246156,639.0,399851.6074410017,60000.0,10.4,0.0,1000.0,12.0,9.4,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.912208608530634,2
1378567184746,0.33097632768171537,0.0279610190232324,1.5932194816E11,2.0900352E10,0.026428571428571423,1.46357211E8,4818863.0,1.44566056E8,4878569.0,0.0,5.572600180134502,0.0,26.0,0.0,0.0,99.2,1579.0,106.4,5.0,104259.0,0.0,0.0,175.0,212.2,168.64239759449507,6054.6,631.0,356.9751801175136,249.7511290322581,0.0,0.0,14.612149492733593,0.0,20.2,39036.0,0.8975118693876141,0.0,6467.6,0.0,6.2,7922.0,252.5784946236559,5.0,0.0,0.0,0.0,139.0,0.0,8441.0,0.0,0.9433717965280003,0.9041702310419335,5.0,0.0,0.0,0.06649047430685043,0.0,0.0,0.9666485829958866,19134.0,0.0,0.0,4.079862542553842,1378.8,32.0,0.0,107669.2,0.0,79288.4,0.0,3156.0,190512.0,408684.6,1372.8,0.0,199219.0,0.0,0.0,0.0,63.8,0.0,36021.0,106848.2,23445.6,4.0,7788.0,0.0,0.0,0.0,0.0,4.08474864709747,0.0,0.0,3307.0,0.0,79681.8,0.0,0.0,432.0,0.0,0.0,206331.6,3.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,9.4,14.758615092851759,219.2,57955.8,0.0,30000.0,0.0,0.0,0.0,107933.0,1507.6,0.0,0.0,0.0,0.0,0.0,4.081969713948464,513.0,0.0,30.4,0.0,0.0,0.0,0.0,2650.0,0.0,0.0,1038.2,28754.0,0.0,0.0,0.0,0.0,-1.0,5.064959674023517,419.0,42555.4,0.0,106.4,0.0,0.0,207679.4,195688.6,5.0,0.0,0.0,0.0,0.0,95.0,4262.2,107354.4,0.0,0.0,112.6,0.0,4389.0,0.0,0.0,11980.0,0.0,0.0,38646.0,215544.4,0.0,57.0,0.0,14775.0,5.0,0.0,77.0,0.0,6467.2,7270.0,42893.0,558.0,0.0,5438.0,46627.0,0.0,0.0,0.0,76.59566495968015,30.0,151997.33388135763,2313.4,414211.8948404856,60000.0,11.6,0.0,1000.0,12.0,22.2,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.57113751311579,2
1378567214829,0.3573187126815661,0.036214453987476386,1.59207325696E11,2.1014974464E10,0.026428571428571423,1.88014556E8,6244257.0,1.87327839E8,6267147.0,0.0,7.904788649862337,0.0,26.0,0.0,0.0,33.0,2498.2,33.0,5.0,78120.4,0.0,0.0,85.0,171.0,111.96190054217868,8186.6,561.6,75.8110899722453,380.4733333333333,0.0,0.0,14.277811715276709,0.0,17.6,26134.0,0.8858435213865187,0.0,9275.2,0.0,4.6,12527.0,415.26666666666665,5.0,0.0,0.0,0.0,139.0,0.0,12701.0,0.0,0.9579599320854519,0.8872238071273744,5.0,0.0,0.0,0.015003582224299258,0.0,0.0,0.992706510955473,15264.8,0.0,0.0,3.403909773842753,2159.8,32.0,0.0,78395.0,0.0,53020.2,0.0,2914.4,295622.0,80032.6,2179.0,0.0,291891.0,0.0,0.0,0.0,38.2,0.0,56390.0,79291.4,14869.6,4.0,12352.0,0.0,0.0,0.0,0.0,3.4042685513735322,0.0,0.0,2795.8,0.0,52390.4,0.0,0.0,62.2,0.0,0.0,147630.8,3.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,3.6,14.661866401525685,249.6,30316.0,0.0,30000.0,0.0,0.0,0.0,78367.6,2218.6,0.0,0.0,0.0,0.0,0.0,3.4022900476736844,165.0,0.0,30.2,0.0,0.0,0.0,0.0,849.0,0.0,0.0,811.6,37441.0,0.0,0.0,0.0,0.0,-1.0,3.405522315213259,176.2,30557.2,0.0,33.0,0.0,0.0,146970.8,46433.8,5.0,0.0,0.0,0.0,0.0,26.6,3223.2,78310.0,0.0,0.0,37.6,0.0,3365.8,0.0,0.0,12815.0,0.0,0.0,38558.0,132580.2,0.0,49.0,0.0,22448.0,5.0,0.0,77.0,0.0,9280.4,11407.8,52220.0,188.0,0.0,8530.4,69093.0,0.0,0.0,0.0,94.16302796666255,30.0,123814.86194946562,2826.6,324252.89917278185,60000.0,12.0,0.0,1000.0,12.0,11.4,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,93.82319576333805,2
1378567244903,0.3780877796150911,0.04132314943165416,1.59028887552E11,2.1193412608E10,0.026428571428571423,2.18854069E8,7277484.0,2.18324664E8,7295132.0,0.0,8.202700967712747,0.0,26.0,0.0,0.0,9.6,2884.0,9.4,5.0,68023.2,0.0,0.0,96.6,159.0,100.97806061510691,4646.6,384.8,150.40625168863636,439.6,0.0,0.0,14.228853011656224,0.0,17.2,21637.2,0.8917443190399371,0.0,4864.0,0.0,0.4,14467.0,478.5666666666666,5.0,0.0,0.0,0.0,139.0,0.0,14521.0,0.0,0.9588294650006747,0.8922006390551775,5.0,0.0,0.0,0.003416399552826305,0.0,0.0,0.99812745997783,13470.0,0.0,0.0,3.259239825191311,2509.0,32.0,0.0,68023.4,0.0,46736.8,0.0,2864.0,342300.0,175561.8,2562.8,0.0,330962.0,0.0,0.0,0.0,33.8,0.0,65705.0,68609.2,11774.4,4.0,14364.0,0.0,0.0,0.0,0.0,3.2600926447093466,0.0,0.0,2482.2,0.0,46533.0,0.0,0.0,38.4,0.0,0.0,129015.8,3.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,5.4,14.594436843471488,280.6,23834.6,0.0,30000.0,0.0,0.0,0.0,68135.2,2571.4,0.0,0.0,0.0,0.0,0.0,3.259440046552566,48.0,0.0,30.2,0.0,0.0,0.0,0.0,235.0,0.0,0.0,669.6,41913.0,0.0,0.0,0.0,0.0,-1.0,3.25748210205431,189.4,24532.8,0.0,9.6,0.0,0.0,128935.8,28354.0,5.0,0.0,0.0,0.0,0.0,8.0,3108.8,68003.0,0.0,0.0,9.8,0.0,3229.6,0.0,0.0,14212.0,0.0,0.0,42074.0,116452.0,0.0,60.0,0.0,25813.0,5.0,0.0,77.0,0.0,4831.8,13226.0,56740.0,50.0,0.0,9938.8,79297.0,0.0,0.0,0.0,120.62571663648585,30.0,94901.05360323412,3620.4,209874.84140044102,60000.0,10.2,0.0,1000.0,12.0,11.4,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,120.57236830448164,2
1378567274972,0.415862748740745,0.05199438727196052,1.58809096192E11,2.1413203968E10,0.026428571428571423,2.87661002E8,9534935.0,2.86048204E8,9588696.0,0.0,8.314432077116882,0.0,26.0,0.0,0.0,9.2,4071.6,9.0,5.0,45191.6,0.0,0.0,94.8,146.0,67.40064076300501,4038.0,339.6,56.669114316337,614.6666666666666,0.0,0.0,14.216920899244831,0.0,18.4,16208.2,0.8894495550291346,0.0,4216.6,0.0,1.0,20405.0,673.5666666666666,5.0,0.0,0.0,0.0,139.0,0.0,20446.0,0.0,0.9591433190166478,0.8898360332135775,5.0,0.0,0.0,0.002471382342390948,0.0,0.0,0.998738014303815,11328.4,0.0,0.0,3.21435036823205,3532.4,32.0,0.0,45243.2,0.0,32027.8,0.0,2848.6,479313.0,64440.4,3594.8,0.0,469804.0,0.0,0.0,0.0,21.8,0.0,92103.0,45741.2,11264.6,4.0,20216.0,0.0,0.0,0.0,0.0,3.21347094454028,0.0,0.0,1680.8,0.0,31899.0,0.0,0.0,32.6,0.0,0.0,89212.0,3.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,5.2,14.589343784072188,311.6,26244.0,0.0,30000.0,0.0,0.0,0.0,45245.6,3602.2,0.0,0.0,0.0,0.0,0.0,3.214559099942158,46.0,0.0,30.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,594.6,57843.0,0.0,0.0,0.0,0.0,-1.0,3.2118792518966934,188.0,19682.2,0.0,9.0,0.0,0.0,89282.6,33464.0,5.0,0.0,0.0,0.0,0.0,6.4,2618.4,45278.6,0.0,0.0,10.0,0.0,2718.8,0.0,0.0,20004.0,0.0,0.0,58895.0,79965.8,0.0,58.0,0.0,36522.0,5.0,0.0,77.0,0.0,4218.4,18603.0,60028.0,51.0,0.0,13970.0,111462.0,0.0,0.0,0.0,152.95464475539058,30.0,74186.43207390941,4591.2,136697.290889569,60000.0,12.0,0.0,1000.0,12.0,9.4,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,152.96131268090897,2
